2.007378701810338__Mike Trout X
2.32260249080256__Mookie Betts
2.3322198722079985__Anthony Rizzo X
2.3502773681360107__Jose Ramirez
2.3831905348533344__Joey Votto X
2.3942169034745553__Alex Bregman
2.4127214320718147__Carlos Santana X
2.42505533749515__Bryce Harper
2.4743238936903786__Juan Soto X
2.4826639810496385__Nolan Arenado
2.5229256828183777__Francisco Lindor
2.5752665405566693__Anthony Rendon
2.596842710908418__J.D. Martinez
2.5977575384418876__Vladimir Guerrero Jr.
2.6023546172620557__Justin Turner X
2.6075499426435926__Kris Bryant
2.608272920969706__Daniel Murphy X
2.608875654509156__Nelson Cruz
2.6345819461368882__Manny Machado
2.644792593875433__Rhys Hoskins
2.6514917317045965__Giancarlo Stanton
2.651909276138908__Andrew Benintendi
2.6723840443421296__Josh Donaldson
2.6767770908749693__Freddie Freeman
2.6913672939955497__Jose Altuve
2.6940347245550758__Matt Carpenter
2.7047973477908225__Jesse Winker
2.714383228559869__Christian Yelich
2.7157115243092744__Paul Goldschmidt
2.7172761909606598__Mike Moustakas
2.7183362034194176__Joc Pederson
2.7198954255312877__Michael Brantley
2.7310412717710455__Steve Pearce
2.735622477982619__Carlos Correa
2.7531937150654744__George Springer
2.7563464678480507__Yasiel Puig
2.7566818668631794__Miguel Cabrera
2.7584550202729474__Corey Seager
2.76299900880657__Maikel Franco
2.7645485535025225__Xander Bogaerts
2.773271660109358__Aaron Hicks
2.7733346786861763__Andrew McCutchen
2.7786908187194395__Edwin Encarnacion
2.7886875351107996__Aaron Judge
2.800446401764498__Robinson Cano
2.803312819890291__Wilmer Flores
2.8053983780644853__Buster Posey
2.8130639420112793__Cody Bellinger
2.813248136096333__Gary Sanchez
2.813330132452792__Myles Straw
2.8168545822788724__Willians Astudillo
2.818186148546063__Didi Gregorius
2.8204437865476493__Matt Olson
2.8276259772849057__Miguel Andujar
2.82827350484531__Charlie Blackmon
2.8291890436882214__Josh Bell
2.831456381585218__Ben Zobrist
2.8372635721623185__Max Kepler
2.839611398145988__Jurickson Profar
2.839875979360302__Marcell Ozuna
2.8461538184010005__Josh Reddick
2.846247427181791__Eloy Jimenez
2.8497355400827353__Danny Jansen
2.8509431304772__Travis Shaw
2.85191800941505__Dustin Pedroia
2.862860115375446__Ryan Braun
2.8652816862254062__Jose Abreu
2.8663191477247802__Kyle Schwarber
2.873272347282091__Eugenio Suarez
2.8750658965798412__Willie Calhoun
2.8765743448432253__Nomar Mazara
2.882732615606144__Shohei Ohtani
2.894732356476459__Yasmani Grandal
2.895573126321698__Andrelton Simmons
2.8966600239153277__Enrique Hernandez ---
2.897406868364565__Kurt Suzuki
2.8976447216865475__Pedro Severino
2.9041335439708016__Albert Pujols
2.9086586068376357__Justin Bour
2.909198175835971__Ryan Zimmerman
2.9111788293266843__Stephen Piscotty
2.914529013014527__Dan Vogelbach
2.9152976633063314__Joe Panik
2.919230275899322__Khris Davis
2.9241719082616733__Nick Markakis
2.9274092136379144__Aledmys Diaz
2.934956415775618__Michael Conforto
2.935977584646648__Justin Smoak
2.938162048124073__Yuli Gurriel
2.9388706236450504__Luke Voit
2.940532541770019__Ketel Marte
2.941021148502625__Brian Dozier
2.9420000334028793__Asdrubal Cabrera
2.9429502037975417__Christin Stewart
2.947457582003674__Tyler White
2.9500552108621863__Kendrys Morales
2.950911792286397__Shin-Soo Choo
2.9523276198157453__Zack Cozart
2.954718686926597__Jose Martinez
2.9557694247612893__Gregory Polanco
2.9618206143526833__Jason Heyward
2.9693240806220755__David Peralta
2.9700120086084096__Rafael Devers
2.9730789928170447__Adam Eaton
2.9757579546688366__Eddie Rosario
2.976876909396828__Kolten Wong
2.97692792485481__Lorenzo Cain
2.9778828682283143__Brandon Belt
2.978386511759076__Robbie Grossman
2.9801058171386896__C.J. Cron
2.9835365465581405__Max Muncy
2.985594113244386__Mitch Moreland
2.9900869449363543__DJ LeMahieu
2.9913758584088312__Brett Gardner
2.991934611230662__Jorge Polanco
2.9935800657647897__Tony Kemp
